no,nama,posisi,usia,market value,klub,negara,tingggi,kontrak berakhir,penampilan,gol,asis,menit bermain,penampilan tim nasional,gol tim nasional,sisa bulan
1,Erling Haaland,Depan-Tengah,25,"Rp3.476,33Mlyr.",Manchester City,Norwegia,195,6/30/2034,33,27,4,2676,48,55,100
2,Bukayo Saka,Sayap Kanan,24,"Rp2.259,61Mlyr.",Arsenal,Inggris,178,6/30/2027,31,7,7,2118,48,14,16
3,Alexander Isak,Depan-Tengah,26,"Rp2.085,80Mlyr.",Liverpool,Swedia,192,6/30/2031,16,3,1,781,56,16,64
4,Hugo Ekitiké,Depan-Tengah,23,"Rp1.477,44Mlyr.",Liverpool,Prancis,190,6/30/2031,31,13,4,1951,6,1,64
5,Estêvão,Sayap Kanan,18,"Rp1.390,53Mlyr.",Chelsea,Brasil,176,6/30/2033,29,6,3,1312,11,5,88
6,Bryan Mbeumo,Sayap Kanan,26,"Rp1.303,62Mlyr.",Manchester United,Kamerun,171,6/30/2030,19,9,1,1591,32,7,52
7,Viktor Gyökeres,Depan-Tengah,27,"Rp1.216,71Mlyr.",Arsenal,Swedia,189,6/30/2030,29,10,2,1879,30,15,52
8,Cody Gakpo,Sayap Kiri,26,"Rp1.216,71Mlyr.",Liverpool,Belanda,193,6/30/2030,30,7,4,2059,46,19,52
9,Nick Woltemade,Depan-Tengah,23,"Rp1.216,71Mlyr.",Newcastle,Jerman,198,7/1/2031,36,10,4,2318,8,4,65
10,Matheus Cunha,Depan-Tengah,26,"Rp1.216,71Mlyr.",Manchester United,Brasil,183,6/30/2030,22,5,2,1595,19,1,52
11,Omar Marmoush,Depan-Tengah,26,"Rp1.129,81Mlyr.",Manchester City,Mesir,183,6/30/2029,18,2,1,550,46,10,40
12,Jérémy Doku,Sayap Kiri,23,"Rp1.129,81Mlyr.",Manchester City,Belgia,173,6/30/2028,30,3,11,1831,39,7,28
13,Antoine Semenyo,Sayap Kanan,26,"Rp1.129,81Mlyr.",Manchester City,Ghana,185,6/30/2031,25,13,4,2179,32,3,64
14,João Pedro,Depan-Tengah,24,"Rp1.129,81Mlyr.",Chelsea,Brasil,182,6/30/2033,31,11,4,2206,6,0,88
15,Pedro Neto,Sayap Kanan,25,"Rp1.042,90Mlyr.",Chelsea,Portugal,174,6/30/2031,34,7,4,2398,21,2,64
16,Anthony Gordon,Sayap Kiri,24,"Rp1.042,90Mlyr.",Newcastle,Inggris,183,7/1/2031,31,9,4,1895,16,2,65
17,Benjamin Sesko,Depan-Tengah,22,"Rp1.042,90Mlyr.",Manchester United,Slovenia,195,6/30/2030,20,5,1,1231,45,16,52
18,Kai Havertz,Depan-Tengah,26,"Rp955,99Mlyr.",Arsenal,Jerman,193,6/30/2028,4,1,1,104,55,20,28
19,Mohammed Kudus,Sayap Kanan,25,"Rp955,99Mlyr.",Spurs,Ghana,177,6/30/2031,26,3,6,1921,46,13,64
20,Noni Madueke,Sayap Kanan,23,"Rp869,08Mlyr.",Arsenal,Inggris,182,6/30/2030,20,3,2,1041,9,1,52
21,Anthony Elanga,Sayap Kanan,23,"Rp869,08Mlyr.",Newcastle,Swedia,178,7/1/2031,30,0,2,1192,26,5,65
22,Amad Diallo,Sayap Kanan,23,"Rp869,08Mlyr.",Manchester United,Pantai Gading,173,6/30/2030,18,2,3,1466,16,5,52
23,Gabriel Martinelli,Sayap Kiri,24,"Rp782,17Mlyr.",Arsenal,Brasil,178,6/30/2027,28,10,1,1178,20,3,16
24,Iliman Ndiaye,Sayap Kanan,25,"Rp782,17Mlyr.",Everton,Senegal,180,6/30/2029,19,4,2,1484,38,4,40
25,Savinho,Sayap Kiri,21,"Rp782,17Mlyr.",Manchester City,Brasil,176,6/30/2031,23,2,3,1032,13,1,64
26,Alejandro Garnacho,Sayap Kiri,21,"Rp782,17Mlyr.",Chelsea,Argentina,180,6/30/2032,25,6,3,1345,8,0,76
27,Jørgen Strand Larsen,Depan-Tengah,25,"Rp695,27Mlyr.",Wolves,Norwegia,193,6/30/2030,25,6,2,1565,24,4,52
28,Jamie Gittens,Sayap Kiri,21,"Rp695,27Mlyr.",Chelsea,Inggris,178,6/30/2032,26,1,5,1076,16,2,76
29,Dan Ndoye,Sayap Kanan,25,"Rp695,27Mlyr.",Nottingham Forest,Swiss,184,6/30/2030,25,2,2,1613,27,5,52
30,Jean-Philippe Mateta,Depan-Tengah,28,"Rp695,27Mlyr.",Crystal Palace,Prancis,192,6/30/2027,34,10,2,2707,3,2,16
31,Evanilson,Depan-Tengah,26,"Rp695,27Mlyr.",Bournemouth,Brasil,183,6/30/2029,23,5,2,1712,2,0,40
32,Yankuba Minteh,Sayap Kanan,21,"Rp695,27Mlyr.",Brighton,Gambia,180,6/30/2029,22,1,4,1607,19,7,40
33,Dominic Solanke,Depan-Tengah,28,"Rp608,36Mlyr.",Spurs,Inggris,186,6/30/2030,8,2,0,261,3,0,52
34,Jarrod Bowen,Sayap Kanan,29,"Rp608,36Mlyr.",West Ham,Inggris,176,6/30/2030,25,7,3,2280,20,1,52
35,Liam Delap,Depan-Tengah,22,"Rp608,36Mlyr.",Chelsea,Inggris,186,6/30/2031,19,2,1,791,12,3,64
36,Yoane Wissa,Depan-Tengah,29,"Rp608,36Mlyr.",Newcastle,Kongo,176,7/1/2029,15,3,1,622,35,8,41
37,Ismaïla Sarr,Sayap Kanan,27,"Rp608,36Mlyr.",Crystal Palace,Senegal,185,6/30/2029,21,8,2,1697,80,18,40
38,Brennan Johnson,Sayap Kanan,24,"Rp608,36Mlyr.",Crystal Palace,Wales,186,6/30/2030,27,4,0,1285,42,7,52
